Dataset,Trust Method,Scenario,Poisoned Agent,Accuracy,F1-Score,FPR,FNR,Accuracy Drop,F1 Drop,FPR Increase,FNR Increase,Status
CICIDS2017,Majority Vote,Clean,None,0.94806,0.8525855707555202,0.0064009962640099,0.2375634517766497,0.0,0.0,0.0,0.0,available
CICIDS2017,Majority Vote,Poisoned,General Traffic Agent,0.94344,0.8382336117149067,0.0075965130759651,0.2561421319796954,0.00462,0.0143519590406134,0.0011955168119551,0.0185786802030456,available
CICIDS2017,Majority Vote,Poisoned,Attack Recall Agent,0.94138,0.8299193407996286,0.0057783312577833,0.2740101522842639,0.00668,0.0226662299558916,-0.0006226650062266,0.0364467005076142,available
CICIDS2017,Majority Vote,Poisoned,Normal Behavior Agent,0.94352,0.8457336392439637,0.0178082191780821,0.2141116751269035,0.0045399999999999,0.0068519315115564,0.0114072229140722,-0.0234517766497462,available
CICIDS2017,Majority Vote,Poisoned,Hard-Case Agent,0.92892,0.7967749313815188,0.0167123287671232,0.2926903553299492,0.01914,0.0558106393740014,0.0103113325031133,0.0551269035532994,available
CICIDS2017,Global Trust Voting,Clean,None,0.9639,0.905817897208453,0.0158156911581569,0.1187817258883248,0.0,0.0,0.0,0.0,available
CICIDS2017,Global Trust Voting,Poisoned,General Traffic Agent,0.96574,0.9133404158445896,0.0221668742216687,0.0835532994923857,-0.00184,-0.0075225186361365,0.0063511830635118,-0.035228426395939,available
CICIDS2017,Global Trust Voting,Poisoned,Attack Recall Agent,0.9616,0.9012548858259616,0.0207222914072229,0.1104568527918781,0.0022999999999999,0.0045630113824912,0.004906600249066,-0.0083248730964467,available
CICIDS2017,Global Trust Voting,Poisoned,Normal Behavior Agent,0.95526,0.8883788234120054,0.032104607721046,0.096243654822335,0.0086399999999999,0.0174390737964476,0.0162889165628891,-0.0225380710659898,available
CICIDS2017,Global Trust Voting,Poisoned,Hard-Case Agent,0.9177,0.7908725923667226,0.050958904109589,0.2100507614213198,0.0462,0.1149453048417303,0.0351432129514321,0.0912690355329949,available
CICIDS2017,Dynamic Trust,Clean,None,0.94556,0.8500440722785368,0.0146201743462017,0.216751269035533,0.0,0.0,0.0,0.0,available
CICIDS2017,Dynamic Trust,Poisoned,General Traffic Agent,0.96314,0.9038652130822596,0.0163636363636363,0.1204060913705583,-0.01758,-0.0538211408037228,0.0017434620174346,-0.0963451776649746,available
CICIDS2017,Dynamic Trust,Poisoned,Attack Recall Agent,0.95164,0.8662462661798872,0.0099128268991282,0.2050761421319797,-0.00608,-0.0162021939013503,-0.0047073474470734,-0.0116751269035532,available
CICIDS2017,Dynamic Trust,Poisoned,Normal Behavior Agent,0.9313,0.8299083931666255,0.0489414694894147,0.149238578680203,0.0142599999999999,0.0201356791119113,0.0343212951432129,-0.0675126903553299,available
CICIDS2017,Dynamic Trust,Poisoned,Hard-Case Agent,0.91814,0.7858525610840789,0.0436612702366127,0.2375634517766497,0.02742,0.0641915111944579,0.0290410958904109,0.0208121827411167,available
CICIDS2017,Trust Agent Selector,Clean,None,0.98836,0.9707302353651176,0.0095392278953922,0.0202030456852791,0.0,0.0,0.0,0.0,available
CICIDS2017,Trust Agent Selector,Poisoned,General Traffic Agent,0.98802,0.9699010099994976,0.0099626400996264,0.0202030456852791,0.00034,0.0008292253656202,0.0004234122042341,0.0,available
CICIDS2017,Trust Agent Selector,Poisoned,Attack Recall Agent,0.98798,0.969797477260164,0.0099626400996264,0.0204060913705583,0.00038,0.0009327581049538,0.0004234122042341,0.0002030456852791,available
CICIDS2017,Trust Agent Selector,Poisoned,Normal Behavior Agent,0.9794,0.9488478347238776,0.0182565379825653,0.0301522842639593,0.0089599999999999,0.02188240064124,0.0087173100871731,0.0099492385786802,available
CICIDS2017,Trust Agent Selector,Poisoned,Hard-Case Agent,0.73396,0.5096217650962177,0.25813200498132,0.2982741116751269,0.2544,0.4611084702689,0.2485927770859277,0.2780710659898477,available
CICIDS2017,AI Trust Auditor,Clean,None,0.94556,0.8500440722785368,0.0146201743462017,0.216751269035533,0.0,0.0,0.0,0.0,available
CICIDS2017,AI Trust Auditor,Poisoned,General Traffic Agent,0.96314,0.9038652130822596,0.0163636363636363,0.1204060913705583,-0.01758,-0.0538211408037228,0.0017434620174346,-0.0963451776649746,available
CICIDS2017,AI Trust Auditor,Poisoned,Attack Recall Agent,0.95164,0.8662462661798872,0.0099128268991282,0.2050761421319797,-0.00608,-0.0162021939013503,-0.0047073474470734,-0.0116751269035532,available
CICIDS2017,AI Trust Auditor,Poisoned,Normal Behavior Agent,0.9313,0.8299083931666255,0.0489414694894147,0.149238578680203,0.0142599999999999,0.0201356791119113,0.0343212951432129,-0.0675126903553299,available
CICIDS2017,AI Trust Auditor,Poisoned,Hard-Case Agent,0.91814,0.7858525610840789,0.0436612702366127,0.2375634517766497,0.02742,0.0641915111944579,0.0290410958904109,0.0208121827411167,available
